Username,Displayname,Firstname,Lastname,Password,Container
baloo,Baloo,Baloo,Bear,Password@123,"OU=blue,OU=higherforhire,DC=talespin,DC=local"
kit,Kit,Kit,Cloudkicker,Winter@2024,"OU=blue,OU=higherforhire,DC=talespin,DC=local"
becky,Becky,Becky,Cunningham,Summer@2024,"OU=blue,OU=higherforhire,DC=talespin,DC=local"
molly,Molly,Molly,Cunningham,Bear@2024,"OU=blue,OU=higherforhire,DC=talespin,DC=local"
wildcat,Wildcat,Wildcat,Panther,Punter#1,"OU=blue,OU=higherforhire,DC=talespin,DC=local"
don,Don,Don,Karnage,Pirate#1,"OU=pirates,OU=higherforhire,DC=talespin,DC=local"
maddog,maddog,Mad,Dog,Pirate#2,"OU=pirates,OU=higherforhire,DC=talespin,DC=local"
dumptruck,Dump,Dump,Truck,Password1,"OU=pirates,OU=higherforhire,DC=talespin,DC=local"
gibber,Gibber,Gibber,Mumbler,Pirate#4,"OU=pirates,OU=higherforhire,DC=talespin,DC=local"
hacksaw,Hack,Hack,saw,Pirate#5,"OU=pirates,OU=higherforhire,DC=talespin,DC=local"
shereKhan,Shere,Shere,Khan,King@2000,"OU=khanindustries,OU=higherforhire,DC=talespin,DC=local"
louie,Louie,Louie,Orangutan,kingkong#1,"OU=khanindustries,OU=higherforhire,DC=talespin,DC=local"
debolt,Debolt,Debolt,Doctor,Doctor#1,"OU=khanindustries,OU=higherforhire,DC=talespin,DC=local"
mssql_admin,mssql_admin,mssql,admin,Password@123,"OU=khanindustries,OU=higherforhire,DC=talespin,DC=local"
